File_Name,Experiment,Date,Site,Temp_C_Up,SpCond_mS_cm_Up,Cond_mS_cm_Up,TDS_g_L_Up,Sal_ppt_Up,Turbidity_NTU_Up,Chl_ug_L_Up,Chl_ug_L_Down,avg_depth_cm,d_bw_sondes_m,avg_m_hr,Mean_Chl_diff,StDev_Chl_diff,StEr_Chl_diff,L_hr_m2,pcnt_Chl_rmvd,statistic,p.value,parameter,conf.low,method,alternative,Wind,G_upstream,Daylight,Sonde_fell,Boat_wake,Algae,Avg_TPM,Avg_PIM,Avg_POM,Avg_OC_Ratio,SR,NPD,NPSM,MB,Filter_trial,Adula_diegensis_m2,Musculista_senhousia_m2,Mytilus_galloprovincialis_m2,Ostrea_lurida_m2,Argopecten_ventricosa_m2,Geukensia_demissa_m2,Crassostrea_gigas_m2,Bivalve_den_m2
Insitu_Filter_MB_2018_7_27.csv,Filtration,7/27/18,Morro Bay,17.6562484624846,54.2423739237392,46.6338130381304,35.2576383763838,35.9359901599016,7.92472324723247,4.51700913242009,3.71472518492308,47.5,26,108,0.802283947497009,0.357515925580057,0.0125386309354729,346.130948627207,17.5426991506966,63.984971854246,1.66880539388306e-308,812,0.781636178364247,One Sample t-test,greater,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0.0175,0.0046,0.0129,0.7372,FALSE,FALSE,FALSE,TRUE,TRUE,,,,,,,600,600
Insitu_Filter_MB_2018_7_28.csv,Filtration,7/28/18,Morro Bay,17.4522351797862,54.2366569484937,46.4175898931001,35.2538386783285,35.9289990281827,7.43819241982507,3.03545211780987,2.71148665770033,29.5,27,96,0.323965460109545,0.421356412799632,0.013135358205506,103.404841982208,9.85851247711725,24.6636182311152,3.53750114554749e-106,1028,0.302340230768499,One Sample t-test,greater,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.0146,0.0049,0.0097,0.6668,FALSE,FALSE,FALSE,TRUE,TRUE,,,,,,,600,600
Insitu_Filter_MB_2019_5_18.csv,Filtration,5/18/19,Morro Bay,16.2907027942422,56.554250635055,47.1459017781541,36.760482641829,37.6381202370872,17.5287044877223,2.94682123126662,3.04420332419486,42.5,30.5,270,-0.0973820929282406,0.634785326184247,0.0184714900428218,-214.065392245755,-5.68975552374337,-5.27202151545344,0.99999991982405,1180,-0.127788861957038,One Sample t-test,greater,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,,,,,,,600,600
Insitu_Filter_MB_2019_5_19.csv,Filtration,5/19/19,Morro Bay,15.9446287128713,54.8479207920792,45.3611881188119,35.6510148514852,36.3594059405941,10.899504950495,2.17114612580661,2.49048753755973,45,30.5,90,-0.319341411753116,0.487678500277036,0.0242629122320742,-236.018736964725,-17.774250561541,-13.1617098845605,1,403,-0.359342303118282,One Sample t-test,greater,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0.0145,0.0026,0.0119,0.8227,FALSE,FALSE,FALSE,TRUE,TRUE,,,,,,,600,600
Insitu_Filter_MB_2019_6_6.csv,Neg Control 1,6/6/19,Morro Bay,17.2827317073171,57.1331707317073,48.7119024390244,37.1376097560976,38.0912926829268,11.9148780487805,2.10363683805757,2.07758267413755,32.5,20.5,171,0.0260541639200175,0.452531064132629,0.0223489162723565,-29.9455374885799,-1.10460372202589,1.1657909315381,0.122189183966345,409,-0.0107899851850797,One Sample t-test,greater,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.0128,0.0028,0.01,0.7812,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,600,600
Insitu_Filter_NPD_2018_10_25.csv,Filtration,10/25/18,Deanza,21.0875367047308,50.8658727569331,47.0640293637847,33.0628058727569,33.4524632952692,4.78417618270799,3.15495315364738,3.44667816772294,17.5,19.2,234,-0.29172501407556,0.417424350282345,0.0168596107138793,-211.723842704299,-9.92697870554956,-17.3031880169928,1,612,-0.319498647285089,One Sample t-test,greater,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,FALSE,TRUE,FALSE,FALSE,TRUE,296,1979.2,80,233.6,,,,2588.8
Insitu_Filter_NPD_2018_10_26.csv,Filtration,10/26/18,Deanza,20.9618989169675,54.9054296028881,50.6703104693141,35.6883104693141,36.4335740072202,2.36974729241877,3.95692068885316,3.33520927504576,19,19.2,288,0.6217114138074,0.417165838316431,0.0112094382826462,435.502472917131,15.2807885234081,55.4632086042969,0,1384,0.603261178805519,One Sample t-test,greater,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.0044,0.0016,0.0028,0.6412,FALSE,TRUE,FALSE,FALSE,TRUE,296,1979.2,80,233.6,,,,2588.8
Insitu_Filter_NPD_2019_4_15.csv,Filtration,4/15/19,Deanza,19.4342857142857,54.8004761904762,48.974632034632,35.6206493506494,36.361341991342,3.4025974025974,1.25597162717008,1.29208032088187,23,16.4,240,-0.0361086937117865,0.321875737222745,0.0211778686872131,-201.429386720089,-5.98449627211858,-1.70502019089336,0.955229562188997,230,-0.0710840632513821,One Sample t-test,greater,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.0051,0.0018,0.0033,0.6432,FALSE,TRUE,FALSE,FALSE,TRUE,296,1979.2,80,233.6,,,,2588.8
Insitu_Filter_NPD_2019_4_17.csv,Filtration,4/17/19,Deanza,19.4067225325885,56.234469273743,50.2271322160149,36.5519739292365,37.4317504655494,4.90912476722533,0.116986517487634,1.11038778418834,0.17,16.4,396,-0.99340126670071,0.587502561328953,0.0253526068346263,5.45453012717488,13.2879224726185,-39.183397320071,1,536,-1.03517479322549,One Sample t-test,greater,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.004,0.001,0.003,0.7672,FALSE,TRUE,FALSE,FALSE,TRUE,296,1979.2,80,233.6,,,,2588.8
Insitu_Filter_NPD_2019_5_10.csv,Filtration,5/10/19,Deanza,19.2469880145909,56.2554924439812,50.0735539343408,36.5661021365295,37.447868681605,2.9176654507556,4.03182815540755,3.78265855642152,31.25,14.8,324,0.249169598986029,0.409064007157229,0.00933799809470094,376.274385899266,5.50010954203371,26.6834064923858,5.70353283265228e-134,1918,0.233802536704201,One Sample t-test,greater,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.0051,8e-04,0.0043,0.8431,FALSE,TRUE,FALSE,FALSE,TRUE,296,1979.2,80,233.6,,,,2588.8
Insitu_Filter_NPD_2019_5_11.csv,Filtration,5/11/19,Deanza,18.8528206806283,54.9490379581152,48.4971335078534,35.7166295811518,36.4701505235602,2.90719895287958,3.72670157068063,3.56780104712042,35,15,369,0.158900523560209,0.440517835050556,0.011269426595164,336.441206739938,3.90756337677048,14.1001427373774,7.80240327476583e-43,1527,0.140352713901875,One Sample t-test,greater,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.004,9e-04,0.0031,0.7625,FALSE,TRUE,FALSE,FALSE,TRUE,296,1979.2,80,233.6,,,,2588.8
Insitu_Filter_NPD_2019_5_21.csv,Filtration,5/21/19,Deanza,18.8939018691589,51.8318925233645,45.7878504672897,33.6907242990654,34.1575934579439,3.34322429906542,6.25464105533041,6.45260193532379,24,16,288,-0.197960879993383,0.472045657541449,0.0228171880820436,-152.405265116184,-3.52789965546722,-8.67595425350296,1,427,-0.235573416769301,One Sample t-test,greater,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0036,8e-04,0.0027,0.7664,FALSE,TRUE,FALSE,FALSE,TRUE,296,1979.2,80,233.6,,,,2588.8
Insitu_Filter_NPD_2019_5_22.csv,Filtration,5/22/19,Deanza,18.619619047619,51.5442993197279,45.2628843537415,33.5038231292517,33.9442040816327,2.79034013605442,7.36605442176871,6.98891156462585,22.5,15.7,216,0.377142857142857,0.381645179045228,0.0140771945009764,155.007865552991,5.00745573905753,26.7910525152365,4.12352766838155e-111,734,0.353958671596091,One Sample t-test,greater,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0038,9e-04,0.003,0.7739,FALSE,TRUE,FALSE,FALSE,TRUE,296,1979.2,80,233.6,,,,2588.8
Insitu_Filter_NPD_2019_5_9.csv,Filtration,5/9/19,Deanza,19.4448454301075,55.7122110215054,49.8004032258065,36.2122983870968,37.0412231182796,2.28057795698925,5.41314716312057,5.16346574010524,32.5,15,243,0.249681423015328,0.378712553506667,0.00981766560436064,235.107742480662,4.46548418766689,25.4318524461079,4.61095921456405e-119,1487,0.233522733401441,One Sample t-test,greater,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0027,6e-04,0.0021,0.7875,FALSE,TRUE,FALSE,FALSE,TRUE,296,1979.2,80,233.6,,,,2588.8
Insitu_Filter_NPD_2019_6_8.csv,Filtration,6/8/19,Deanza,19.0701412872841,55.7491993720565,49.4355416012559,36.2374568288854,37.0686499215071,2.70627943485086,4.27906874451215,4.36316045485991,26.5,15.7,324,-0.0840917103477634,0.359602834845644,0.0142479830751448,-125.97738441361,-2.30356968937069,-5.90200801785474,0.999999997079175,636,-0.107561743287162,One Sample t-test,greater,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.0037,0.001,0.0026,0.726,FALSE,TRUE,FALSE,FALSE,TRUE,296,1979.2,80,233.6,,,,2588.8
